,timestamp,Humidity,Temperature,Motion,AmbianceLevel,AmbianceType
81,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
82,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
83,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
84,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
85,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
86,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
87,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
88,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
89,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
90,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
91,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
92,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
93,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
94,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
95,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
96,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
97,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
98,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
99,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
100,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
101,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
102,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
103,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
104,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
105,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
106,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
107,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
108,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
109,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
110,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
