,timestamp,Humidity,Temperature,Motion
92,Tue Feb 23 12:59:46 2021,70.0,22.0,0
93,Tue Feb 23 12:59:46 2021,70.0,22.0,0
94,Tue Feb 23 12:59:46 2021,70.0,22.0,0
95,Tue Feb 23 12:59:46 2021,70.0,22.0,0
96,Tue Feb 23 12:59:46 2021,70.0,22.0,0
97,Tue Feb 23 12:59:46 2021,70.0,22.0,0
98,Tue Feb 23 12:59:46 2021,70.0,22.0,0
99,Tue Feb 23 12:59:46 2021,70.0,22.0,0
100,Tue Feb 23 12:59:46 2021,70.0,22.0,0
101,Tue Feb 23 12:59:46 2021,70.0,22.0,0
102,Tue Feb 23 12:59:46 2021,70.0,22.0,0
103,Tue Feb 23 12:59:46 2021,70.0,22.0,0
104,Tue Feb 23 12:59:46 2021,70.0,22.0,0
105,Tue Feb 23 12:59:46 2021,70.0,22.0,0
106,Tue Feb 23 12:59:46 2021,70.0,22.0,0
107,Tue Feb 23 12:59:46 2021,70.0,22.0,0
108,Tue Feb 23 12:59:46 2021,70.0,22.0,0
109,Tue Feb 23 12:59:46 2021,70.0,22.0,0
110,Tue Feb 23 12:59:46 2021,70.0,22.0,0
111,Tue Feb 23 12:59:46 2021,70.0,22.0,0
112,Tue Feb 23 12:59:46 2021,70.0,22.0,0
113,Tue Feb 23 12:59:46 2021,70.0,22.0,0
114,Tue Feb 23 12:59:46 2021,70.0,22.0,0
115,Tue Feb 23 12:59:46 2021,70.0,22.0,0
116,Tue Feb 23 12:59:46 2021,70.0,22.0,0
117,Tue Feb 23 12:59:46 2021,70.0,22.0,0
118,Tue Feb 23 12:59:46 2021,70.0,22.0,0
119,Tue Feb 23 12:59:46 2021,70.0,22.0,0
120,Tue Feb 23 12:59:46 2021,70.0,22.0,0
121,Tue Feb 23 12:59:46 2021,70.0,22.0,0
122,Tue Feb 23 12:59:46 2021,70.0,22.0,0
123,Tue Feb 23 12:59:46 2021,70.0,22.0,0
124,Tue Feb 23 12:59:46 2021,70.0,22.0,0
125,Tue Feb 23 12:59:46 2021,70.0,22.0,0
126,Tue Feb 23 12:59:46 2021,70.0,22.0,0
127,Tue Feb 23 12:59:46 2021,70.0,22.0,0
128,Tue Feb 23 12:59:46 2021,70.0,22.0,0
129,Tue Feb 23 12:59:46 2021,70.0,22.0,0
130,Tue Feb 23 12:59:46 2021,70.0,22.0,0
131,Tue Feb 23 12:59:46 2021,70.0,22.0,0
132,Tue Feb 23 12:59:46 2021,70.0,22.0,0
133,Tue Feb 23 12:59:46 2021,70.0,22.0,0
134,Tue Feb 23 12:59:46 2021,70.0,22.0,0
135,Tue Feb 23 12:59:46 2021,70.0,22.0,0
136,Tue Feb 23 12:59:46 2021,70.0,22.0,0
137,Tue Feb 23 12:59:46 2021,70.0,22.0,0
138,Tue Feb 23 12:59:46 2021,70.0,22.0,0
139,Tue Feb 23 12:59:46 2021,70.0,22.0,0
140,Tue Feb 23 12:59:46 2021,70.0,22.0,0
141,Tue Feb 23 12:59:46 2021,70.0,22.0,0
142,Tue Feb 23 12:59:46 2021,70.0,22.0,0
143,Tue Feb 23 12:59:46 2021,70.0,22.0,0
144,Tue Feb 23 12:59:46 2021,70.0,22.0,0
145,Tue Feb 23 12:59:46 2021,70.0,22.0,0
